% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Presentación a la comunidad y validación del proyecto,5%,5%,55%,,5.32,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.","Licitación, adjudicación e inicio de obras",15%,15%,70%,,5.33,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Ejecución de obras,15%,5%,75%,,5.34,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Habilitación del lugar,5%,0%,75%,,5.35,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Contratación del personal,5%,0%,75%,,5.36,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Inauguración y puesta en marcha,5%,0%,75%,,5.37,5,revisar resultado,,
90%,6. Vivienda,94%,Crear EGIS Municipal,"Crear una Entidad de Gestión Inmobiliaria Social (EGIS) Municipal que entregue asesoría especializada a vecinos/as, organizando a las familias y realizando las gestiones necesarias para que obtengan su vivienda.",100%,"En marzo de 2023 se conforma la Entidad de Gestión Inmobiliaria Social (EGIS) Municipal, mediante resolución Exenta N° 279 de la Seremi de Vivienda. Durante el año 2023, se llevaron a cabo los procesos de firmas de los socios de comités de vivienda, postulando 1.877 viviendas para los Proyectos ""Vista al Sur"", ""Altos de San Joaquín"", ""Salvador Allende"", ""Rivas"" y ""Lira I y II"".","Análisis de los requerimientos necesarios para suscribir el convenio de la SEREMI de Vivienda, requerido para poder constituir la Entidad de Gestión Inmobiliaria Social (EGIS) Municipal",20%,20%,20%,1,6.1,6,revisar,,
90%,6. Vivienda,94%,Crear EGIS Municipal,"Crear una Entidad de Gestión Inmobiliaria Social (EGIS) Municipal que entregue asesoría especializada a vecinos/as, organizando a las familias y realizando las gestiones necesarias para que obtengan su vivienda.",100%,"En marzo de 2023 se conforma la Entidad de Gestión Inmobiliaria Social (EGIS) Municipal, mediante resolución Exenta N° 279 de la Seremi de Vivienda. Durante el año 2023, se llevaron a cabo los procesos de firmas de los socios de comités de vivienda, postulando 1.877 viviendas para los Proyectos ""Vista al Sur"", ""Altos de San Joaquín"", ""Salvador Allende"", ""Rivas"" y ""Lira I y II"".",Elaboración de plan de trabajo para cumplir con los requerimientos necesarios para la implementación,10%,10%,30%,,6.2,6,revisar,,
90%,6. Vivienda,94%,Crear EGIS Municipal,"Crear una Entidad de Gestión Inmobiliaria Social (EGIS) Municipal que entregue asesoría especializada a vecinos/as, organizando a las familias y realizando las gestiones necesarias para que obtengan su vivienda.",100%,"En marzo de 2023 se conforma la Entidad de Gestión Inmobiliaria Social (EGIS) Municipal, mediante resolución Exenta N° 279 de la Seremi de Vivienda. Durante el año 2023, se llevaron a cabo los procesos de firmas de los socios de comités de vivienda, postulando 1.877 viviendas para los Proyectos ""Vista al Sur"", ""Altos de San Joaquín"", ""Salvador Allende"", ""Rivas"" y ""Lira I y II"".","Ejecución de plan de trabajo para dar cumplimiento a los requisitos del Convenio en función a: personal, infraestructura y equipamiento",20%,20%,50%,,6.3,6,revisar,,
90%,6. Vivienda,94%,Crear EGIS Municipal,"Crear una Entidad de Gestión Inmobiliaria Social (EGIS) Municipal que entregue asesoría especializada a vecinos/as, organizando a las familias y realizando las gestiones necesarias para que obtengan su vivienda.",100%,"En marzo de 2023 se conforma la Entidad de Gestión Inmobiliaria Social (EGIS) Municipal, mediante resolución Exenta N° 279 de la Seremi de Vivienda. Durante el año 2023, se llevaron a cabo los procesos de firmas de los socios de comités de vivienda, postulando 1.877 viviendas para los Proyectos ""Vista al Sur"", ""Altos de San Joaquín"", ""Salvador Allende"", ""Rivas"" y ""Lira I y II"".","Firma del ""Convenio Regional de Asistencia Técnica para el Programa Habitacional"" entre el Municipio y SEREMI de Vivienda",20%,20%,70%,,6.4,6,revisar,,
90%,6. Vivienda,94%,Crear EGIS Municipal,"Crear una Entidad de Gestión Inmobiliaria Social (EGIS) Municipal que entregue asesoría especializada a vecinos/as, organizando a las familias y realizando las gestiones necesarias para que obtengan su vivienda.",100%,"En marzo de 2023 se conforma la Entidad de Gestión Inmobiliaria Social (EGIS) Municipal, mediante resolución Exenta N° 279 de la Seremi de Vivienda. Durante el año 2023, se llevaron a cabo los procesos de firmas de los socios de comités de vivienda, postulando 1.877 viviendas para los Proyectos ""Vista al Sur"", ""Altos de San Joaquín"", ""Salvador Allende"", ""Rivas"" y ""Lira I y II"".",Puesta en marcha de EGIS Municipal,30%,30%,100%,,6.5,6,revisar,,
90%,6. Vivienda,94%,Mejorar las prácticas de selección de cupos para proyectos habitacionales,"Elaborar un nuevo protocolo de selección que establezca los criterios de identificación y selección de posibles beneficiarios de proyectos habitacionales subsidiados en la comuna, mejorando el proceso de asignación.",100%,"Se elaboró y decretó el protocolo de ""selección de casos sociales beneficiarios para proyectos de viviendas subsidiadas"" en agosto de 2022.",Diagnóstico de protocolo de selección para proyectos de viviendas sociales y evaluación de actualización,10%,10%,10%,1,6.6,6,revisar,,
90%,6. Vivienda,94%,Mejorar las prácticas de selección de cupos para proyectos habitacionales,"Elaborar un nuevo protocolo de selección que establezca los criterios de identificación y selección de posibles beneficiarios de proyectos habitacionales subsidiados en la comuna, mejorando el proceso de asignación.",100%,"Se elaboró y decretó el protocolo de ""selección de casos sociales beneficiarios para proyectos de viviendas subsidiadas"" en agosto de 2022.","Desarrollo de nuevo ""protocolo de selección de casos sociales beneficiarios para proyectos de viviendas subsidiadas"" en la comuna",30%,30%,40%,,6.7,6,revisar,,
90%,6. Vivienda,94%,Mejorar las prácticas de selección de cupos para proyectos habitacionales,"Elaborar un nuevo protocolo de selección que establezca los criterios de identificación y selección de posibles beneficiarios de proyectos habitacionales subsidiados en la comuna, mejorando el proceso de asignación.",100%,"Se elaboró y decretó el protocolo de ""selección de casos sociales beneficiarios para proyectos de viviendas subsidiadas"" en agosto de 2022.",Aprobación del nuevo protocolo por el Concejo Municipal,20%,20%,60%,,6.8,6,revisar,,
90%,6. Vivienda,94%,Mejorar las prácticas de selección de cupos para proyectos habitacionales,"Elaborar un nuevo protocolo de selección que establezca los criterios de identificación y selección de posibles beneficiarios de proyectos habitacionales subsidiados en la comuna, mejorando el proceso de asignación.",100%,"Se elaboró y decretó el protocolo de ""selección de casos sociales beneficiarios para proyectos de viviendas subsidiadas"" en agosto de 2022.",Capacitación interna sobre el nuevo protocolo y su aplicación,10%,10%,70%,,6.9,6,revisar,,
90%,6. Vivienda,94%,Mejorar las prácticas de selección de cupos para proyectos habitacionales,"Elaborar un nuevo protocolo de selección que establezca los criterios de identificación y selección de posibles beneficiarios de proyectos habitacionales subsidiados en la comuna, mejorando el proceso de asignación.",100%,"Se elaboró y decretó el protocolo de ""selección de casos sociales beneficiarios para proyectos de viviendas subsidiadas"" en agosto de 2022.",Puesta en marcha del protocolo de selección de beneficiarios para viviendas subsidiadas,20%,20%,90%,,6.10,6,revisar,,
90%,6. Vivienda,94%,Mejorar las prácticas de selección de cupos para proyectos habitacionales,"Elaborar un nuevo protocolo de selección que establezca los criterios de identificación y selección de posibles beneficiarios de proyectos habitacionales subsidiados en la comuna, mejorando el proceso de asignación.",100%,"Se elaboró y decretó el protocolo de ""selección de casos sociales beneficiarios para proyectos de viviendas subsidiadas"" en agosto de 2022.",Evaluación de la iniciativa,10%,10%,100%,,6.11,6,revisar,,
90%,6. Vivienda,94%,Promover compra o sesión de terrenos para viviendas sociales,Realizar las gestiones necesarias entre el Ministerio de Vivienda y Urbanismo y terceros para promover la compra de terrenos para proyectos habitacionales.,100%,"2.424 familias tendrán casa propia. Se han adquirido mediante mutuo acuerdo los terrenos para los proyectos habitacionales ""Patios de Berlioz"", ""Nibsa"" y ""Cabildo"", que benefician a 1.012 familias. Además se adjudicaron los proyectos de vivienda ""Vista al Sur"", ""Salvador Allende"", ""Rivas"", ""Lira 1"" y ""Lira 2"" que beneficiarán a 1.412 familias.",Catastro de proyección de vivienda en la comuna,5%,5%,5%,1,6.12,6,revisar,,
90%,6. Vivienda,94%,Promover compra o sesión de terrenos para viviendas sociales,Realizar las gestiones necesarias entre el Ministerio de Vivienda y Urbanismo y terceros para promover la compra de terrenos para proyectos habitacionales.,100%,"2.424 familias tendrán casa propia. Se han adquirido mediante mutuo acuerdo los terrenos para los proyectos habitacionales ""Patios de Berlioz"", ""Nibsa"" y ""Cabildo"", que benefician a 1.012 familias. Además se adjudicaron los proyectos de vivienda ""Vista al Sur"", ""Salvador Allende"", ""Rivas"", ""Lira 1"" y ""Lira 2"" que beneficiarán a 1.412 familias.",Identificación de áreas y terrenos con atributos urbanos deseables para proyectos habitacionales,5%,5%,10%,,6.13,6,revisar,,
